absolute_path,relative_path,r_range,g_range,b_range,r_bin,g_bin,b_bin
C:\Users\student\Desktop\lab0004\000001.jpg,000001.jpg,255,255,255,211-255,211-255,211-255
C:\Users\student\Desktop\lab0004\000002.jpg,000002.jpg,255,255,244,211-255,211-255,211-255
